cuenta_id,fecha,transaccion,monto,descripcion
2094,2024-07-19,retiro,-1889.41,Retiro en sucursal
2118,2024-09-27,compra,-1829.16,Pago de servicio
2083,2024-05-15,retiro,2139.69,Retiro parcial
2000,2024-08-18,compra,-68.93,Compra online
2050,2024-09-11,deposito,1159.47,Deposito en sucursal
2005,2024-05-31,deposito,-2996.88,Transferencia recibida
2097,2024-07-09,deposito,2342.95,Transferencia recibida
2000,2024-03-01,deposito,1968.47,Deposito en sucursal
2100,2024-08-20,deposito,2546.46,Deposito en sucursal
2070,2024/11/29,retiro,-2263.9,Retiro parcial
2069,2024-11-24,deposito,-1539.05,Ingreso extra
2023,2024-03-23,deposito,1901.43,Ingreso extra
2052,2024-06-02,retiro,-89.25,Retiro parcial
2076,2024-09-10,retiro,-2148.68,Retiro cajero
2124,2024-06-29,deposito,1667.62,Deposito en sucursal
2112,2024/02/09,deposito,2816.34,Transferencia recibida
2103,2024-09-26,deposito,2732.78,Transferencia recibida
2079,2024-07-18,deposito,829.05,Deposito en sucursal
2102,2024-03-26,retiro,-2701.61,Retiro parcial
2101,2024-12-24,retiro,-2222.49,Retiro en sucursal
2002,2024-05-04,deposito,-141.28,Ingreso extra
2111,2024/02/23,retiro,-1532.66,Retiro cajero
2135,2024-12-03,retiro,-120.87,Retiro en sucursal
2081,2024-11-26,deposito,318.7,Ingreso mensual
2124,2024-04-22,deposito,2459.2,Ingreso extra
2024,2024/03/17,retiro,-1116.4,
2143,2024-11-03,deposito,1969.27,Deposito en sucursal
2127,2024-11-11,deposito,1579.75,
2130,2024/03/27,retiro,-710.86,Retiro en sucursal
2129,2024/03/21,retiro,-1916.3,Retiro cajero
2029,2024-12-16,deposito,-1089.95,Transferencia recibida
2105,2024-11-13,deposito,1705.41,Ingreso extra
2082,2024-12-17,retiro,-2471.9,Retiro parcial
2015,2024-12-28,compra,-2100.44,Pago de servicio
2006,2024-11-27,deposito,219.68,Deposito en sucursal
2041,2024-11-20,deposito,2660.74,Ingreso mensual
2033,2024-03-23,compra,-861.72,Pago de servicio
2064,2024-05-23,compra,-2259.29,Compra online
2027,2024/09/10,compra,-1082.43,Compra online
2100,2024-08-19,deposito,1550.12,
2070,2024/04/02,retiro,-1352.75,Retiro parcial
2099,2024-05-18,compra,-2776.08,Compra en tienda
2026,2024-09-08,deposito,470.77,
2071,2024-04-25,deposito,311.88,Deposito en sucursal
2051,2024-02-06,deposito,1647.16,Transferencia recibida
2148,2024-09-01,compra,-1620.06,Compra online
2029,2024-11-30,compra,-909.67,Pago de servicio
2142,2024-07-19,retiro,-1223.82,Retiro cajero
2084,2024-09-03,retiro,-1253.55,Retiro cajero
2098,2024-11-24,retiro,-381.81,Retiro en sucursal
2022,2024-04-19,deposito,1329.64,Ingreso mensual
2013,2024-03-01,deposito,2573.31,Deposito en sucursal
2088,2024-11-07,retiro,-2792.08,Retiro parcial
2045,2024-01-28,deposito,1568.63,Ingreso mensual
2004,2024-10-29,retiro,-2742.99,Retiro cajero
2000,2024/02/06,deposito,441.94,Ingreso extra
2036,2024-01-31,retiro,-794.07,
2007,2024/12/22,deposito,468.48,Ingreso mensual
2116,2024-04-30,deposito,250.89,Ingreso mensual
2090,2024-04-18,retiro,-1439.13,Retiro parcial
2120,2024-06-01,deposito,163.9,Ingreso extra
2052,2024/10/12,deposito,434.07,Transferencia recibida
2035,2024-11-12,retiro,-2098.46,Retiro en sucursal
2125,2024-10-04,retiro,-472.51,Retiro cajero
2076,2024/07/18,compra,-2873.88,Compra en tienda
2043,2024-10-18,deposito,2645.39,Transferencia recibida
2047,2024-05-02,retiro,-2309.68,Retiro en sucursal
2123,2024-05-06,deposito,365.14,Transferencia recibida
2096,2024-09-18,compra,-1241.23,Pago de servicio
2046,2024-11-12,deposito,714.67,Ingreso mensual
2095,2024/07/30,compra,2878.47,Pago de servicio
2148,2024/09/01,deposito,268.49,Deposito en sucursal
2014,2024-02-10,deposito,2293.81,Ingreso mensual
2066,2024-06-09,deposito,-1739.21,Ingreso mensual
2027,2024-08-01,retiro,-753.55,Retiro parcial
2133,2024-10-29,deposito,79.92,Ingreso mensual
2051,2024-10-05,compra,-45.43,Compra online
2041,2024/10/15,retiro,-287.35,Retiro parcial
2054,2024-02-02,deposito,1822.45,Transferencia recibida
2060,2024-11-24,retiro,-232.28,Retiro parcial
2010,2024-08-16,deposito,2873.72,Ingreso extra
2120,2024-10-28,retiro,2811.13,Retiro parcial
2094,2024-09-21,compra,-708.29,Compra en tienda
2105,2024-06-01,deposito,1892.39,Ingreso extra
2116,2024-09-16,deposito,-1748.07,
2115,2024-10-04,deposito,-1721.83,Transferencia recibida
2138,2024-06-04,compra,-2231.35,Compra online
2059,2024-10-22,deposito,1914.1,Ingreso extra
2007,2024-10-04,compra,-1432.24,Pago de servicio
2099,2024/02/26,compra,-926.78,Pago de servicio
2065,2024-01-15,deposito,2788.32,Transferencia recibida
2127,2024-07-29,retiro,-1026.85,Retiro cajero
2080,2024-05-17,deposito,-529.91,Deposito en sucursal
2095,2024/06/16,deposito,268.66,Deposito en sucursal
2090,2024-07-23,deposito,684.69,Ingreso mensual
2071,2024-10-07,deposito,-1001.49,Transferencia recibida
2087,2024-10-13,compra,-250.08,Compra online
2113,2024-05-16,retiro,-1633.43,Retiro cajero
2033,2024/09/14,compra,-209.72,Pago de servicio
2066,2024-02-15,deposito,1784.76,Ingreso mensual
2146,2024-04-24,deposito,1833.75,Ingreso mensual
2007,2024-12-10,deposito,2430.21,Ingreso mensual
2136,2024-06-26,retiro,-2226.48,Retiro parcial
2033,2024-01-25,deposito,1089.18,Deposito en sucursal
2095,2024-02-09,deposito,1096.96,Ingreso extra
2147,2024-10-18,retiro,-2720.78,Retiro en sucursal
2141,2024-03-18,compra,-2232.86,Pago de servicio
2147,2024-08-21,deposito,2938.54,Transferencia recibida
2014,2024-04-15,compra,-616.07,Compra en tienda
2002,2024-08-31,compra,-634.36,Pago de servicio
2136,2024-06-16,deposito,2462.98,Ingreso extra
2107,2024-04-30,compra,-1649.22,Pago de servicio
2115,2024-02-02,retiro,-788.86,Retiro cajero
2067,2024-12-22,deposito,2109.3,Ingreso mensual
2140,2024-10-20,deposito,2286.94,Deposito en sucursal
2015,2024-06-30,deposito,1283.79,Ingreso extra
2083,2024-04-01,retiro,-1017.84,Retiro cajero
2035,2024-11-19,retiro,-2401.23,Retiro cajero
2015,2024-08-15,deposito,1233.7,Ingreso extra
2125,2024-12-18,retiro,-831.93,Retiro cajero
2128,2024-08-02,compra,-904.32,Compra online
2082,2024-02-26,deposito,2295.07,Ingreso mensual
2111,2024-04-26,retiro,-2262.66,Retiro en sucursal
2126,2024-07-20,retiro,-2292.85,Retiro cajero
2106,2024-11-17,deposito,-2967.69,Ingreso extra
2123,2024-01-15,retiro,-1532.31,
2100,2024-04-15,retiro,-243.93,
2073,2024-06-05,compra,951.96,
2124,2024/10/03,deposito,2172.24,Ingreso mensual
2079,2024-02-08,compra,-1864.65,Compra online
2067,2024-03-11,deposito,1457.68,Deposito en sucursal
2040,2024/03/02,compra,-734.08,Compra en tienda
2140,2024-11-05,retiro,-560.16,Retiro parcial
2145,2024-07-08,deposito,2147.13,Deposito en sucursal
2107,2024/05/21,retiro,-491.78,Retiro en sucursal
2018,2024-06-11,deposito,1183.1,Ingreso extra
2077,2024-03-15,deposito,-1857.07,Ingreso mensual
2114,2024-01-30,deposito,1668.82,Transferencia recibida
2140,2024-07-31,deposito,838.81,Transferencia recibida
2121,2024-05-22,compra,-367.06,Compra en tienda
2115,2024-11-30,retiro,-1831.84,Retiro en sucursal
2147,2024-02-02,deposito,415.0,Deposito en sucursal
2085,2024-04-30,retiro,-625.77,Retiro cajero
2128,2024/08/30,retiro,-1260.58,Retiro parcial
2034,2024-02-22,retiro,-145.07,Retiro en sucursal
2138,2024-07-15,retiro,258.43,Retiro en sucursal
2031,2024/11/28,deposito,740.51,Deposito en sucursal
2133,2024-01-02,retiro,-1690.47,Retiro cajero
2093,2024/07/31,deposito,98.22,Transferencia recibida
2077,2024-05-23,deposito,2595.22,Deposito en sucursal
2139,2024-01-19,deposito,-1084.59,Ingreso extra
2009,2024-08-14,retiro,-354.7,Retiro parcial
2122,2024-04-30,retiro,-1463.01,Retiro parcial
2123,2024/04/22,deposito,2645.07,Transferencia recibida
2078,2024/02/24,deposito,2232.91,Deposito en sucursal
2033,2024-04-28,deposito,1771.22,Ingreso extra
2090,2024-05-05,retiro,-1691.19,Retiro parcial
2049,2024-09-17,retiro,-1566.3,Retiro en sucursal
2023,2024-02-11,deposito,2822.68,Ingreso extra
2113,2024-11-28,retiro,2860.07,Retiro parcial
2127,2024-01-03,retiro,-643.49,Retiro cajero
2101,2024-01-19,deposito,731.53,Transferencia recibida
2061,2024-12-18,retiro,-191.96,Retiro cajero
2148,2024-11-21,deposito,-1379.64,Ingreso extra
2132,2024-02-19,deposito,846.88,Ingreso mensual
2122,2024/11/16,retiro,1910.8,Retiro parcial
2074,2024-12-11,compra,-2295.86,
2031,2024-11-11,compra,-2027.93,Compra online
2049,2024-11-11,compra,-2566.22,Compra en tienda
2095,2024/10/06,retiro,-1574.81,Retiro parcial
2029,2024/07/23,deposito,2559.99,Ingreso extra
2043,2024-11-22,deposito,2612.35,Ingreso extra
2063,2024-06-21,retiro,-1022.92,Retiro cajero
2135,2024-03-22,compra,-1017.44,Compra en tienda
2082,2024-06-22,deposito,273.2,Ingreso extra
2009,2024/03/20,compra,-2220.72,Compra online
2097,2024-12-15,retiro,-966.99,
2065,2024-12-10,deposito,2961.91,Ingreso extra
2036,2024-08-05,deposito,-264.2,Deposito en sucursal
2042,2024/06/17,compra,-2081.7,Compra en tienda
2108,2024-02-07,deposito,1135.48,Ingreso mensual
2080,2024-12-27,deposito,806.83,Transferencia recibida
2007,2024/02/02,deposito,2409.93,Transferencia recibida
2103,2024/12/16,retiro,-2049.15,Retiro cajero
2103,2024-10-22,deposito,2920.41,Ingreso mensual
2144,2024-09-23,deposito,-2589.26,Ingreso extra
2025,2024-04-30,compra,-2723.84,Pago de servicio
2094,2024-04-05,compra,-2695.77,Pago de servicio
2104,2024-06-30,deposito,2041.93,Ingreso extra
2058,2024-08-07,deposito,-1866.9,Transferencia recibida
2077,2024-01-27,deposito,822.35,Transferencia recibida
2113,2024-06-02,retiro,-271.79,Retiro en sucursal
2144,2024-01-31,deposito,1207.22,Ingreso mensual
2126,2024-11-18,deposito,304.26,Ingreso extra
2108,2024-03-12,compra,-2292.57,
2003,2024-10-30,retiro,-1268.82,Retiro cajero
2023,2024-04-04,retiro,-2377.24,Retiro cajero
2080,2024-01-06,deposito,673.45,Deposito en sucursal
2059,2024/03/05,compra,-1786.04,Compra en tienda
2013,2024-08-14,deposito,1800.99,Transferencia recibida
2083,2024-06-03,retiro,-875.28,Retiro cajero
2088,2024-01-20,retiro,-471.58,Retiro en sucursal
2114,2024-07-15,compra,-688.86,Pago de servicio
2058,2024-07-11,deposito,132.96,Ingreso extra
2025,2024-06-30,retiro,-2819.18,Retiro en sucursal
2117,2024-11-06,deposito,1018.26,Transferencia recibida
2020,2024-11-22,deposito,1850.98,Ingreso extra
2040,2024/07/18,deposito,444.53,Transferencia recibida
2141,2024-03-20,retiro,-516.87,Retiro cajero
2130,2024-10-30,compra,-2900.64,Pago de servicio
2009,2024-03-03,retiro,-1225.6,Retiro parcial
2096,2024/07/22,retiro,-556.11,Retiro parcial
2062,2024-07-28,compra,-2740.65,Pago de servicio
2139,2024-01-13,compra,-552.61,Compra en tienda
2082,2024-10-05,deposito,1544.4,
2054,2024/10/10,deposito,1118.82,Transferencia recibida
2086,2024/03/23,deposito,2501.39,Ingreso extra
2114,2024-10-29,compra,-101.49,Pago de servicio
2059,2024-12-22,compra,-1832.03,Compra online
2073,2024-11-07,deposito,1384.2,Transferencia recibida
2037,2024-03-01,retiro,-2973.24,
2018,2024-05-25,compra,103.88,Compra online
2066,2024/12/25,compra,-974.02,Pago de servicio
2057,2024-04-29,retiro,2119.79,Retiro parcial
2050,2024-07-10,retiro,-272.58,Retiro cajero
2011,2024-08-31,deposito,1585.4,Ingreso extra
2106,2024-10-14,retiro,-1496.01,Retiro en sucursal
2061,2024-02-11,retiro,-582.69,Retiro cajero
2024,2024-06-12,retiro,-2623.05,Retiro parcial
2070,2024-04-20,retiro,-846.64,
2006,2024-07-05,compra,-350.68,
2141,2024/03/04,retiro,-670.55,Retiro en sucursal
2110,2024/05/27,deposito,1734.56,Transferencia recibida
2146,2024-09-17,deposito,2988.43,Deposito en sucursal
2050,2024-02-12,deposito,1515.26,Ingreso mensual
2061,2024-08-11,deposito,2318.39,Transferencia recibida
2101,2024-04-14,deposito,878.22,Ingreso mensual
2086,2024-10-19,compra,-2133.87,Compra en tienda
2086,2024-07-12,deposito,392.9,Ingreso mensual
2092,2024-07-12,deposito,645.09,Ingreso mensual
2109,2024/10/25,deposito,-2880.3,Ingreso mensual
2014,2024/05/09,deposito,-918.9,Ingreso mensual
2086,2024-03-12,retiro,-2101.72,Retiro cajero
2012,2024-02-18,deposito,518.07,Transferencia recibida
2012,2024-03-10,compra,-177.61,Pago de servicio
2110,2024-06-17,compra,-1996.74,Compra en tienda
2099,2024-10-26,compra,-2898.19,Compra online
2149,2024/08/29,compra,-914.18,Pago de servicio
2051,2024-12-15,retiro,-588.11,Retiro parcial
2099,2024-07-07,deposito,-1621.92,Ingreso mensual
2018,2024-01-14,retiro,-1882.96,Retiro cajero
2146,2024-10-27,retiro,-956.6,Retiro cajero
2079,2024-09-04,deposito,2795.37,Ingreso mensual
2047,2024-01-22,retiro,-2761.46,Retiro en sucursal
2061,2024-01-18,deposito,1097.01,Ingreso mensual
2092,2024/02/19,compra,-2242.21,Pago de servicio
2006,2024/10/03,deposito,1445.91,Deposito en sucursal
2094,2024-10-22,compra,-2819.39,Pago de servicio
2025,2024-01-03,compra,-1866.58,Compra online
2105,2024-02-15,compra,-1853.32,Compra en tienda
2137,2024-11-30,deposito,469.23,
2148,2024-01-05,deposito,2586.19,Ingreso extra
2039,2024-02-28,deposito,1634.5,Deposito en sucursal
2087,2024-07-13,retiro,-2413.95,Retiro parcial
2108,2024-02-02,deposito,471.18,Transferencia recibida
2045,2024-01-13,compra,-692.37,Compra en tienda
2034,2024-03-18,deposito,2623.61,Ingreso mensual
2131,2024-05-22,compra,-2522.83,Compra online
2119,2024-12-30,compra,-2233.7,Compra en tienda
2004,2024-05-31,deposito,2372.85,Deposito en sucursal
2024,2024-05-24,compra,-1255.2,Compra online
2117,2024-11-07,deposito,953.06,Transferencia recibida
2036,2024-03-04,retiro,1725.86,Retiro cajero
2052,2024-06-18,compra,-2401.45,Pago de servicio
2069,2024/06/15,deposito,2728.46,Deposito en sucursal
2133,2024-08-01,retiro,2015.53,Retiro en sucursal
2108,2024/07/25,retiro,-107.98,Retiro parcial
2119,2024-03-26,deposito,414.49,Ingreso extra
2095,2024-02-26,compra,-1795.77,Compra online
2053,2024-12-03,deposito,1374.9,Ingreso mensual
2108,2024-12-03,retiro,-405.68,Retiro en sucursal
2054,2024-12-07,retiro,-2100.17,Retiro parcial
2132,2024-08-29,compra,-1904.08,Compra online
2072,2024-07-25,compra,400.17,Pago de servicio
2008,2024/12/28,deposito,964.49,Transferencia recibida
2014,2024-01-22,compra,-117.72,
2032,2024-11-26,retiro,2098.59,Retiro cajero
2015,2024/10/18,deposito,2462.37,Deposito en sucursal
2084,2024/07/15,compra,-2150.46,Pago de servicio
2060,2024/09/03,compra,-1156.63,Compra online
2020,2024-09-21,retiro,-1738.99,Retiro en sucursal
2046,2024-06-17,retiro,341.86,
2145,2024-05-05,retiro,-1040.48,Retiro cajero
2046,2024/12/21,deposito,400.06,
2106,2024/11/28,compra,-1791.13,Pago de servicio
2004,2024/05/23,retiro,-2557.92,Retiro parcial
2045,2024-06-17,deposito,-1885.46,Ingreso extra
2119,2024-03-05,deposito,749.93,Deposito en sucursal
2048,2024-04-22,deposito,2162.13,Deposito en sucursal
2128,2024-06-18,deposito,2165.99,Deposito en sucursal
2104,2024-03-14,retiro,-606.25,Retiro parcial
2149,2024-04-08,deposito,2361.72,Deposito en sucursal
2045,2024-11-16,deposito,2524.71,Ingreso extra
2145,2024-10-17,retiro,-126.52,Retiro en sucursal
2144,2024-08-24,compra,-351.25,Compra online
2063,2024-04-18,deposito,41.64,Transferencia recibida
2017,2024-08-08,deposito,375.02,Ingreso extra
2121,2024-12-27,deposito,377.42,Ingreso extra
2067,2024-04-20,retiro,-2118.34,Retiro cajero
2143,2024-06-15,compra,-516.05,Pago de servicio
2058,2024-01-13,deposito,2203.96,Deposito en sucursal
2106,2024/02/01,deposito,1762.16,Ingreso mensual
2012,2024-05-28,deposito,-1924.06,Deposito en sucursal
2016,2024-11-14,deposito,2285.31,Ingreso extra
2107,2024-12-24,deposito,1438.95,Ingreso mensual
2070,2024-09-24,retiro,-2990.46,Retiro en sucursal
2110,2024-10-15,compra,-2115.21,Compra en tienda
2016,2024-12-03,deposito,375.27,Ingreso mensual
2043,2024-02-16,deposito,1883.2,Deposito en sucursal
2007,2024/02/14,compra,-2695.88,Compra en tienda
2125,2024-05-18,deposito,248.05,
2037,2024-11-21,retiro,-1331.44,Retiro cajero
2108,2024-07-15,compra,1271.77,Pago de servicio
2026,2024-05-14,deposito,2289.46,Transferencia recibida
2030,2024/09/14,deposito,2226.74,Deposito en sucursal
2097,2024-04-18,deposito,326.7,Ingreso mensual
2118,2024-10-21,deposito,747.21,Transferencia recibida
2061,2024/03/23,compra,-2317.5,Compra online
2081,2024-03-31,deposito,2068.35,
2137,2024-08-03,compra,-1206.68,Compra en tienda
2009,2024/06/06,retiro,-1860.22,Retiro cajero
2147,2024-05-05,retiro,-2223.52,Retiro en sucursal
2104,2024-05-13,deposito,1799.18,Ingreso extra
2020,2024-07-24,deposito,1555.8,Deposito en sucursal
2008,2024/01/25,compra,-867.46,Pago de servicio
2011,2024-05-19,deposito,1676.33,Deposito en sucursal
2046,2024-08-15,retiro,430.26,Retiro parcial
2002,2024-03-30,deposito,132.11,Ingreso extra
2124,2024-06-11,deposito,2430.91,Transferencia recibida
2036,2024-10-24,compra,-2685.13,Pago de servicio
2032,2024-11-18,deposito,1306.73,Ingreso extra
2067,2024-12-13,deposito,1057.96,Ingreso mensual
2131,2024-09-24,deposito,253.03,Deposito en sucursal
2083,2024-05-24,deposito,1854.78,Ingreso mensual
2120,2024-11-11,deposito,1055.09,Transferencia recibida
2066,2024-10-14,retiro,-1322.15,Retiro cajero
2030,2024-05-31,retiro,-1661.96,Retiro en sucursal
2074,2024-09-29,compra,-1228.3,
2057,2024/12/21,retiro,-542.49,Retiro en sucursal
2107,2024-03-04,retiro,-1915.87,Retiro en sucursal
2139,2024/01/21,retiro,-1130.93,Retiro en sucursal
2135,2024-03-24,deposito,-574.76,Ingreso extra
2103,2024-06-04,retiro,-212.56,
2066,2024-04-22,compra,-1378.24,Compra en tienda
2041,2024-06-28,deposito,654.01,
2076,2024/07/29,compra,-1472.49,Pago de servicio
2091,2024-05-18,retiro,-544.79,Retiro cajero
2030,2024-09-01,deposito,2952.87,Transferencia recibida
2116,2024-05-12,retiro,-68.03,Retiro cajero
2110,2024-05-28,compra,-769.12,Compra en tienda
2136,2024-01-01,deposito,617.21,Transferencia recibida
2143,2024-03-11,retiro,1520.02,Retiro en sucursal
2029,2024-08-10,retiro,-296.98,Retiro cajero
2090,2024-11-13,deposito,404.37,Transferencia recibida
2093,2024-12-26,compra,-1199.51,Compra en tienda
2066,2024-07-17,deposito,972.54,Deposito en sucursal
2089,2024-06-07,deposito,2907.46,Ingreso mensual
2102,2024/10/25,compra,-2622.19,Compra en tienda
2064,2024-01-09,compra,-2622.83,Pago de servicio
2145,2024-02-27,retiro,-1112.06,Retiro parcial
2037,2024/09/27,retiro,-653.67,Retiro en sucursal
2047,2024-11-29,retiro,-947.34,Retiro parcial
2120,2024-07-28,compra,-2227.28,Compra online
2139,2024-11-12,retiro,-2480.2,Retiro en sucursal
2038,2024-07-28,retiro,-2702.73,Retiro parcial
2148,2024-05-07,compra,-2039.97,Pago de servicio
2090,2024-07-22,compra,-614.42,Compra online
2035,2024-01-06,deposito,-1561.7,Transferencia recibida
2049,2024-08-28,deposito,1852.36,Ingreso extra
2083,2024/12/01,compra,-460.38,Compra online
2070,2024-09-22,deposito,894.32,Deposito en sucursal
2075,2024-04-05,deposito,46.41,Deposito en sucursal
2136,2024-12-27,compra,-2752.51,Compra online
2016,2024-07-23,compra,-2006.7,Compra online
2119,2024-07-24,deposito,739.48,Transferencia recibida
2074,2024-09-30,deposito,747.79,Ingreso mensual
2041,2024-10-11,compra,-22.98,Pago de servicio
2041,2024-03-13,compra,-2956.22,Pago de servicio
2048,2024-04-07,deposito,1147.02,Ingreso extra
2000,2024-05-04,retiro,-409.0,Retiro parcial
2093,2024-01-17,retiro,-2558.08,Retiro cajero
2068,2024/01/27,deposito,1556.0,Ingreso extra
2028,2024-02-11,deposito,2128.97,Transferencia recibida
2040,2024-07-16,compra,-822.48,Pago de servicio
2006,2024/09/28,retiro,-1289.19,Retiro en sucursal
2138,2024-11-10,deposito,-1375.87,
2002,2024-06-03,deposito,33.62,Ingreso mensual
2124,2024-10-01,compra,-1883.35,Pago de servicio
